algorithm,message_hex,unknown_bits,engine,budget,target_hex,output_bits,nodes,gates,inputs,constants,edges,depth,width,gate_width,max_fanout,xor_gates,and_gates,or_gates,not_gates,output_depth_min,output_depth_mean,output_depth_max,build_ms,metrics_ms,equality_nodes,equality_depth,equality_width,status,solve_ms,decisions,conflicts,propagations,search_steps,solutions,affine_active,recovered_hex,recovered_verified,process_ms,process_timeout_s,process_returncode,forward_record,native_domain,native_trials,native_matches,native_total_ms,native_first_trials,native_first_ms,native_first_hex,native_exhaustive,error,extra_json
crc32,61626364,24,shape,20000000,ed82cd11,32,555,531,24,0,939,18,63,63,14,408,0,0,123,14,15.5625,18,0.115,0.121,,,,shape_only,,,,,,,,,False,5.6786000004649395,30.0,0,True,16777216,,,,,,,False,,
crc32,61626364,32,shape,20000000,ed82cd11,32,542,510,32,0,926,18,63,63,14,416,0,0,94,15,15.6875,18,0.114,0.134,,,,shape_only,,,,,,,,,False,5.639099999825703,30.0,0,True,4294967296,,,,,,,False,,
md5,61626364,0,shape,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0.0,0,0.46,0.008,,,,shape_only,,,,,,,,,False,5.699999999706051,30.0,0,True,1,1,1,0.008600000001024455,1,0.007599999662488699,61626364,True,,
md5,61626364,4,shape,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31615,31611,4,0,60610,2880,25,25,20,11478,11436,6085,2612,2692,2792.132812,2880,0.846,8.133,,,,shape_only,,,,,,,,,False,15.022200001112651,30.0,0,True,16,16,1,0.03549999928509351,2,0.014900000678608194,61626364,True,,
md5,61626364,4,dpll,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31615,31611,4,0,60610,2880,25,25,20,11478,11436,6085,2612,2692,2792.132812,2880,0.861,7.736,31810,2953,25,sat,15.091,19,8,195009,572334,1,False,61626364,True,36.607899999580695,30.0,0,True,16,16,1,0.03549999928509351,2,0.014900000678608194,61626364,True,,
md5,61626364,4,affine,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31615,31611,4,0,60610,2880,25,25,20,11478,11436,6085,2612,2692,2792.132812,2880,0.854,7.735,31810,2953,25,sat,15.368,19,8,195009,572334,1,False,61626364,True,37.941099999443395,30.0,0,True,16,16,1,0.03549999928509351,2,0.014900000678608194,61626364,True,,
md5,61626364,4,cdcl,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31615,31611,4,0,60610,2880,25,25,20,11478,11436,6085,2612,2692,2792.132812,2880,0.873,6.631,31810,2953,25,sat,29.588,19,8,195009,1515002,1,False,61626364,True,50.21640000086336,30.0,0,True,16,16,1,0.03549999928509351,2,0.014900000678608194,61626364,True,,
md5,61626364,8,shape,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31751,31743,8,0,60869,2880,25,25,20,11521,11491,6114,2617,2692,2792.132812,2880,0.848,6.119,,,,shape_only,,,,,,,,,False,14.137500000288128,30.0,0,True,256,256,1,0.3177999988110969,98,0.12889999925391749,61626364,True,,
md5,61626364,8,dpll,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31751,31743,8,0,60869,2880,25,25,20,11521,11491,6114,2617,2692,2792.132812,2880,0.844,6.136,31946,2953,25,sat,142.848,273,134,2734830,8030785,1,False,61626364,True,162.7336000001378,30.0,0,True,256,256,1,0.3177999988110969,98,0.12889999925391749,61626364,True,,
md5,61626364,8,affine,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31751,31743,8,0,60869,2880,25,25,20,11521,11491,6114,2617,2692,2792.132812,2880,0.979,7.887,31946,2953,25,sat,145.737,273,134,2734830,8030785,1,False,61626364,True,168.73209999903338,30.0,0,True,256,256,1,0.3177999988110969,98,0.12889999925391749,61626364,True,,
md5,61626364,8,cdcl,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,31751,31743,8,0,60869,2880,25,25,20,11521,11491,6114,2617,2692,2792.132812,2880,0.871,8.162,31946,2953,25,step_limit,176.395,248,124,2511020,20000000,0,False,,False,198.28339999912714,30.0,0,True,256,256,1,0.3177999988110969,98,0.12889999925391749,61626364,True,,
md5,61626364,12,shape,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32141,32129,12,0,61607,2920,25,25,15,11644,11639,6195,2651,2732,2832.132812,2920,0.88,7.246,,,,shape_only,,,,,,,,,False,14.880099999572849,30.0,0,True,4096,4096,1,5.6798000005073845,610,0.8675999997649342,61626364,True,,
md5,61626364,12,dpll,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32141,32129,12,0,61607,2920,25,25,15,11644,11639,6195,2651,2732,2832.132812,2920,0.86,7.26,32336,2993,25,step_limit,364.608,684,338,6813404,20000000,0,False,,False,387.4454999986483,30.0,0,True,4096,4096,1,5.6798000005073845,610,0.8675999997649342,61626364,True,,
md5,61626364,12,affine,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32141,32129,12,0,61607,2920,25,25,15,11644,11639,6195,2651,2732,2832.132812,2920,0.893,11.246,32336,2993,25,step_limit,352.003,684,338,6813404,20000000,0,False,,False,386.8112999989535,30.0,0,True,4096,4096,1,5.6798000005073845,610,0.8675999997649342,61626364,True,,
md5,61626364,12,cdcl,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32141,32129,12,0,61607,2920,25,25,15,11644,11639,6195,2651,2732,2832.132812,2920,0.896,6.304,32336,2993,25,step_limit,177.93,255,124,2511693,20000000,0,False,,False,198.9862999998877,30.0,0,True,4096,4096,1,5.6798000005073845,610,0.8675999997649342,61626364,True,,
md5,61626364,16,shape,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32292,32276,16,0,61901,2924,25,25,15,11698,11703,6224,2651,2736,2836.132812,2924,1.066,8.262,,,,shape_only,,,,,,,,,False,16.761400000177673,30.0,0,True,65536,65536,1,91.1578000013833,25186,34.824500000468106,61626364,True,,
md5,61626364,16,dpll,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32292,32276,16,0,61901,2924,25,25,15,11698,11703,6224,2651,2736,2836.132812,2924,0.899,8.46,32487,2997,25,step_limit,349.018,689,339,6815663,20000000,0,False,,False,375.63629999931436,30.0,0,True,65536,65536,1,91.1578000013833,25186,34.824500000468106,61626364,True,,
md5,61626364,16,affine,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32292,32276,16,0,61901,2924,25,25,15,11698,11703,6224,2651,2736,2836.132812,2924,0.902,6.835,32487,2997,25,step_limit,350.78,689,339,6815663,20000000,0,False,,False,373.1912999992346,30.0,0,True,65536,65536,1,91.1578000013833,25186,34.824500000468106,61626364,True,,
md5,61626364,16,cdcl,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32292,32276,16,0,61901,2924,25,25,15,11698,11703,6224,2651,2736,2836.132812,2924,0.899,6.541,32487,2997,25,step_limit,178.922,259,124,2511131,20000000,0,False,,False,201.45010000123875,30.0,0,True,65536,65536,1,91.1578000013833,25186,34.824500000468106,61626364,True,,
md5,61626364,24,shape,20000000,e2fc714c4727ee9395f324cd2e7f331f,128,32476,32452,24,0,62256,2928,27,27,15,11764,11777,6263,2648,2740,2840.132812,2928,0.874,6.356,,,,shape_only,,,,,,,,,False,14.678399998956593,30.0,0,True,16777216,,,,,,,False,,
